"student_id","surname","name","stipend","kurs","city","birthday","univ_id"
121,Самсонов,Алексей,180,4,Тихорецк,1986-03-09,42
122,Соколова,Екатерина,280,4,Чехов,1982-08-25,5
123,Афанасьева,Татьяна,110,1,Ворсма,1981-09-06,27
124,Болгов,Алексей,350,3,Нижнеудинск,1986-08-21,88
125,Древаль,Дмитрий,330,2,Остров,1983-05-17,60
126,Дубоваткин,Максим,100,2,Ельня,1984-05-26,42
127,Простаков,Сергей,310,1,Саров,1987-02-03,42
128,Пономарев,Александр,230,1,Красновишерск,1984-07-17,70
129,Паршин,Максим,280,4,Красный Сулин,1985-04-26,31
130,Петров,Алексей,110,1,Мышкин,1987-06-13,25
131,Сидоров,Николай,460,3,Вышний Волочек,1984-09-21,36
132,Ворфоломеев,Александр,370,4,Тольятти,1983-09-08,7
133,Алехин,Алексей,60,3,Серпухов,1981-03-28,54
134,Паршина,Екатерина,530,4,Новотроицк,1984-05-16,55
135,Трубицына,Наталья,450,2,Опочка,1987-08-20,94
136,Паршина,Екатерина,460,3,Горбатов,1987-08-27,64
137,Кривцова,Евгения,280,1,Лермонтов,1987-11-28,40
138,Бурмистрова,Анастасия,310,3,Сызрань,1980-11-03,19
139,Воронова,Елена,260,4,Игарка,1980-04-12,22
140,Заводскова,Наталья,340,1,Кировград,1986-10-29,28
420,Гапонов,Владимир,500,1,Аргун,1987-02-05,48
421,Колесникова,Евгения,480,1,Мончегорск,1981-10-16,16
422,Свиридова,Ольга,240,3,Абинск,1980-02-13,79
423,Буненкова,Юлия,490,3,Ленск,1988-12-05,41
424,Небольсина,Анна,410,3,Астрахань,1985-09-09,28
425,Клочков,Павел,420,4,Грязи,1989-04-13,37
426,Гаврилова,Людмила,50,1,Белорецк,1980-07-04,10
427,Гуцева,Ирина,300,3,Приволжск,1986-08-04,50
428,Логинов,Александр,540,1,Лодейное,1988-03-23,25
429,Егорова,Анна,140,2,Белоярский,1981-03-20,82
430,Воробьев,Евгений,220,4,Заводоуковск,1986-09-30,2
431,Орехова,Алла,500,1,Мещовск,1982-08-27,30
432,Романов,Николай,430,3,Урюпинск,1982-04-12,85
433,Кобылкина,Надежда,260,3,Тара,1987-10-06,6
434,Крючкова,София,360,4,Елизово,1989-01-20,45
435,Рязанцев,Виктор,250,3,Трехгорный-1,1982-03-09,64
436,Квасов,Юрий,440,3,Бобров,1980-10-10,81
437,Казакова,Наталья,300,3,Бавлы,1989-02-20,81
438,Гречко,Антон,80,4,Усть-Лабинск,1983-08-10,32
439,Медведева,Ирина,160,2,Болохово,1989-03-02,1
440,Гарьковская,Светлана,280,4,Донской,1986-10-15,96
441,Матвеенко,Анна,430,4,Обоянь,1983-10-07,86
442,Родюков,Олег,430,2,Красный Кут,1985-04-13,14
443,Панов,Петр,100,1,Сковородино,1989-09-02,28
444,Савенков,Дмитрий,150,2,Лабытнанги,1986-02-08,97
445,Калин,Антон,170,3,Ступино,1985-07-14,73
446,Данилова,Оксана,340,3,Каменногорск,1986-01-05,75
447,Смирнова,Олеся,200,4,Камешково,1982-09-30,93
448,Зимина,Юлия,490,1,Остров,1988-09-23,19
449,Малюкова,Надежда,310,4,Пудож,1985-09-19,90
450,Скоробогатов,Сергей,390,2,Отрадный,1985-12-13,46
451,Ляшенко,Ирина,420,4,Нытва,1985-11-06,40
452,Макарова,Ирина,160,4,Чебоксары,1982-11-17,5
453,Джахуа,Адам,170,4,Клинцы,1987-05-09,32
454,Рожковская,Надежда,190,1,Черкесск,1987-06-12,29
455,Митрофанов,Сергей,330,4,Олонец,1984-01-08,12
456,Будков,Игорь,530,1,Кингисепп,1987-08-09,2
457,Ширяев,Игорь,310,2,Гороховец,1982-09-09,6
458,Ушакова,Наталья,530,2,Волжск,1984-02-03,35
459,Кондратьева,Ирина,180,1,Отрадный,1984-06-09,94
460,Тарасова,Елена,80,3,Свободный,1982-08-12,92
461,Белова,Марина,470,4,Вологда,1986-08-06,45
462,Губина,Ольга,140,4,Вихоревка,1989-09-01,40
463,Чеботкова,Лилия,340,3,Волчанск,1980-09-09,77
464,Бойченко,Анастасия,490,4,Североморск,1986-05-02,23
465,Колодкин,Сергей,100,2,Избербаш,1981-06-17,17
466,Скогорева,Ирина,100,2,Обоянь,1984-06-12,6
467,Колодяжная,Марина,290,1,Красный Холм,1983-05-16,23
468,Межевикин,Александр,320,3,Нижний Ломов,1985-12-11,42
469,Лисицына,Дина,150,4,Пласт,1981-06-13,87
470,Самойлов,Евгений,60,2,Омск,1988-06-28,38
471,Кузнецова,Юлия,500,2,Среднеколымск,1986-04-26,18
472,Клочков,Павел,390,2,Онега,1985-04-21,72
473,Гайворонская,Надежда,500,4,Ивдель,1986-09-27,72
474,Казакова,Татьяна,320,1,Багратионовск,1984-07-22,64
475,Ушакова,Светлана,180,3,Мантурово,1980-02-22,41
476,Гаспарян,Нина,230,2,Нурлат,1989-06-28,89
477,Лопасов,Максим,120,4,Шокша,1980-07-20,46
478,Фролова,Елена,440,3,Бологое,1985-03-01,54
479,Лесников,Дмитрий,440,4,Мелеуз,1987-04-10,37
480,Анищенко,Татьяна,480,3,Кириши,1987-01-10,51
481,Грушецкий,Антон,50,1,Мама,1984-07-09,16
482,Недоцук,Александр,90,4,Солга,1981-06-10,30
483,Масленников,Александр,210,3,Усть-Шоноша,1985-04-23,18
484,Лачугина,Ольга,320,4,Шумерля,1983-04-24,25
485,Клепиков,Илья,50,3,Георгиевск,1980-05-29,89
486,Ларина,Валерия,430,3,Гаврилов Посад,1983-05-16,17
487,Полунчукова,Елена,450,1,Советск,1987-10-12,12
488,Жук,Юлия,120,4,Лосино-Петровский,1981-06-11,6
489,Усова,Мария,210,3,Пошехонье,1988-07-09,61
490,Лазарев,Петр,170,4,Сланцы,1983-12-07,49
491,Ильин,Виктор,70,3,Байкальск,1984-02-17,37
492,Грошев,Денис,500,4,Россошь,1988-12-29,11
493,Овечкина,Ольга,120,2,Болохово,1985-12-03,18
494,Кузнецов,Алексей,210,3,Шатура,1981-11-22,30
495,Животягина,Марина,120,1,Тобольск,1983-02-10,76
496,Багрянцева,Надежда,70,3,Саяногорск,1981-10-28,98
497,Переславцев,Александр,250,1,Таруса,1989-10-18,37
498,Петрова,Ольга,420,2,Черепаново,1980-08-19,90
499,Рудакова,Виктория,470,3,Юбилейный,1986-04-12,66
500,Ярошенко,Анна,320,2,Нефтекумск,1988-06-15,52
501,Хатунцева,Елена,270,3,Заозерный,1984-01-16,39
502,Сунцова,Елена,550,4,Сретенск,1982-11-07,33
503,Лунгу,Олег,410,4,Макарьев,1980-11-17,32
504,Лимонова,Наталия,500,3,Гагарин,1981-04-30,15
505,Строич,Любовь,250,4,Белозерск,1989-06-10,79
506,Жигулина,Евгения,540,2,Зея,1983-06-21,17
507,Лукина,Юлия,350,1,Наро-Фоминск,1983-09-27,40
508,Мещерякова,Елена,260,1,Михайловск,1983-03-21,79
509,Неженцев,Святослав,230,4,Реутов,1980-07-12,32
510,Сафронова,Татьяна,250,2,Вихоревка,1985-08-06,43
511,Климова,Лариса,180,3,Кинель,1980-06-30,44
512,Кузнецова,Ольга,350,2,Красный Сулин,1980-03-04,74
513,Голотвина,Юлия,330,3,Абдулино,1984-06-07,83
514,Андросова,Юлия,380,2,Урюпинск,1986-11-27,46
515,Золототрубова,Елена,410,3,Бикин,1986-10-15,38
516,Шабанов,Антон,110,4,Макушино,1984-06-04,69
517,Масленникова,Мария,150,4,Дорогобуж,1989-11-12,41
518,Первеева,Ирина,330,1,Удачный,1986-03-26,78
519,Юршин,Дмитрий,60,3,Духовщина,1980-09-15,57
520,Алексеева,Екатерина,330,1,Корсаков,1983-05-30,15
521,Рязанова,Евгения,420,1,Бежецк,1986-08-01,14
522,Жигулин,Александр,220,2,Тихвин,1982-10-11,85
523,Колтакова,Анна,110,1,Шебекино,1988-02-17,80
524,Тишкова,Наталья,280,1,Далматово,1983-06-20,98
525,Нежиборец,Олеся,350,1,Волгодонск,1988-04-21,40
526,Поликарпов,Игорь,430,3,Ноябрьск,1982-09-26,61
527,Ирхина,Наталья,240,3,Губкин,1985-04-15,21
528,Стешенко,Сергей,400,2,Шелехов,1989-05-10,65
529,Шабунин,Сергей,330,3,Слюдянка,1984-08-29,62
530,Солоха,Вадим,170,1,Десногорск,1980-09-16,57
531,Гонтарь,Владимир,500,3,Рудногорск,1985-02-18,23
532,Корнева,Юлия,190,2,Шахты,1983-03-03,29
533,Мошкин,Андрей,320,3,Новоалександровск,1989-12-25,52
534,Дробышева,Елена,120,1,Дубовка,1985-09-20,97
535,Капленко,Людмила,200,2,Синега,1986-11-09,98
536,Станкеева,Наталья,340,4,Нягань,1988-08-22,84
537,Матюхин,Павел,320,1,Светлый,1989-07-26,74
538,Евсеев,Сергей,510,1,Сысерть,1984-03-20,90
539,Ушакова,Елена,80,4,Архангельск,1980-03-16,58
540,Курочкина,Юлия,220,3,Красный Холм,1989-09-01,16
541,Зенищева,Алла,300,3,Трубчевск,1986-03-24,16
542,Русина,Оксана,380,2,Дмитров,1984-11-04,55
543,Мормышев,Дмитрий,300,2,Назарово,1988-10-17,19
544,Рыкова,Татьяна,260,1,Зубцов,1983-11-11,9
545,Просяник,Татьяна,490,1,Октябрьский,1982-09-19,22
546,Гализин,Андрей,140,1,Камень-на-Оби,1982-05-28,12
547,Вербилович,Олеся,430,4,Чадан,1989-04-08,28
548,Богатырев,Алексей,150,2,Родники,1984-12-02,61
549,Нестеренко,Александр,540,4,Лиски,1987-12-10,22
550,Нестерова,Татьяна,410,3,Никольск,1980-10-16,96
551,Пятигорец,Анастасия,310,3,Руза,1985-04-25,93
552,Рогожкин,Иван,220,2,Городище,1989-11-14,38
553,Кузнецов,Алексей,180,4,Сольцы-2,1987-06-15,37
554,Цыбуляева,Елена,480,4,Улан-Удэ,1987-04-08,98
555,Мордасова,Елена,310,4,Иркутск,1988-06-07,35
556,Архипцев,Дмитрий,120,4,Шадринск,1989-09-26,87
557,Казьмина,Наталия,220,4,Нижний Тагил,1981-02-23,93
558,Вихорев,Дмитрий,240,2,Онега,,22
559,Руднева,Виктория,340,4,Тетюши,1989-08-19,76
560,Терещенко,Виктория,370,4,Иркутск,1984-09-23,57
561,Рыбалкина,Наталья,140,3,Высоцк,1983-09-09,1
562,Семыкин,Павел,520,1,Юхнов,1986-09-03,35
563,Юрьев,Юрий,200,1,Аргуновский,1988-09-07,67
564,Лаухин,Владислав,190,2,Сарс,1987-08-05,46
565,Шульгин,Константин,520,3,Новый Куваш,1985-08-15,36
566,Баутина,Людмила,550,4,Опочка,1982-07-27,65
567,Плахутина,Виктория,160,4,Омутнинск,1980-04-20,2
568,Морозова,Наталья,550,3,Вилючинск,1981-03-15,85
569,Боев,Павел,260,2,Орск,1985-08-02,86
570,Нестеренко,Ирина,190,4,Шелехов,,27
571,Толстикова,Лариса,170,3,Тетюши,1988-10-15,29
572,Алехина,Татьяна,340,1,Лесозаводск,1988-12-02,55
573,Ширкова,Эльвира,380,2,Гороховец,1986-09-08,23
574,Понамарева,Наталья,360,2,Курлово,1981-11-02,98
575,Козлова,Елена,430,2,Каменск-Шахтинский,1985-08-10,46
576,Гаврилова,Марина,540,1,Березовский,,52
577,Соловьева,Елена,520,3,Южно-Сухокумск,1982-05-31,68
578,Чупрынина,Ольга,90,3,Иланский,1986-11-17,15
579,Красникова,Оксана,240,2,Бузулук,1986-04-13,63
580,Богоявленская,Евгения,70,2,Бугульма,1986-02-19,76
581,Золотых,Владислав,330,2,Великий Устюг,1980-02-10,60
582,Иваненко,Анна,440,2,Ленинск,1988-03-14,96
583,Ивлев,Александр,370,3,Красный Кут,1986-03-02,91
584,Бочкарева,Татьяна,250,4,Духовщина,1987-05-11,14
585,Дурова,Елена,120,4,Балахна,1982-06-29,66
586,Чирков,Александр,360,3,Кимовск,1987-12-19,62
587,Лебедев,Сергей,530,1,Березники,1986-07-29,9
588,Кошечкина,Екатерина,520,4,Кунгур,1989-03-16,12
589,Глаголев,Владимир,60,3,Касимов,1980-02-14,97
590,Гринева,Ирина,520,2,Качканар,1984-08-13,90
591,Келчева,Анастасия,290,3,Ипатово,1985-08-01,91
592,Фролова,Наталья,460,2,Анжеро-Судженск,1988-11-11,89
593,Густова,Олеся,150,4,Покровск,1980-04-27,72
594,Арбузова,Светлана,460,2,Покачи,1989-06-08,20
595,Иванов,Сергей,470,1,Воронеж,1980-03-25,32
596,Панова,Ирина,80,2,Беднодемьяновск,1981-11-30,35
597,Лаптиева,Евгения,140,3,Гурьевск,1980-07-28,87
598,Трубицына,Мария,290,2,Асино,1985-04-02,8
599,Воищева,Екатерина,550,3,Мариинский Посад,1989-04-08,47
600,Данченко,Игорь,120,4,Елабуга,1983-02-05,46
601,Янкова,Елена,540,4,Суровикино,1986-09-29,13
602,Королевский,Олег,140,4,Орлов,1989-07-16,81
603,Климова,Елена,280,4,Козьмодемьянск,1988-04-20,86
604,Меркулова,Виктория,90,2,Оханск,1988-09-05,64
605,Ломакина,Елена,350,3,Чехов,1989-03-21,16
606,Новиков,Алексей,170,2,Лебедянь,1986-11-30,79
607,Пикалова,Наталья,420,1,Курлово,1981-05-18,83
608,Соколова,Екатерина,130,4,Ливны,1981-06-23,89
609,Жидов,Юрий,110,3,Геленджик,1982-05-04,78
610,Свиридова,Наталия,250,2,Щелково,1988-03-12,15
611,Липатова,Анна,430,4,Геленджик,1985-11-12,77
612,Карпова,Ольга,520,2,Чкаловск,1982-01-30,52
613,Стребкова,Татьяна,170,2,Новая Ляля,1985-02-16,75
614,Емельянов,Максим,340,3,Пушкино,1986-01-14,51
615,Вяткина,Елена,360,2,Бакал,1989-11-03,48
616,Кольцов,Владимир,230,2,Усть-Кут,1982-07-17,16
617,Асеева,Татьяна,290,3,Пермь,1983-11-04,6
618,Яньшина,Анна,300,2,Лысьва,1989-04-30,70
619,Дмитриева,Ульяна,480,4,Верхний Уфалей,1983-08-09,15
620,Акимов,Александр,200,1,Тамбов,1980-11-29,15
621,Исакова,Ольга,510,2,Алапаевск,1989-03-05,10
622,Корицкий,Александр,110,3,Одинцово,1981-05-04,48
623,Самсонов,Алексей,180,3,Нефтекумск,1989-08-08,89
624,Оробий,Юлия,330,4,Сухой Лог,1987-11-12,64
625,Редькина,Юлия,480,2,Кашира,1983-10-05,16
626,Рыкова,Татьяна,320,2,Барабинск,1988-10-23,82
627,Попов,Дмитрий,340,1,Сосновка,1987-07-26,93
628,Рязанов,Антон,140,2,Николаевск-на-Амуре,1988-12-13,85
629,Червакова,Вера,460,3,Усть-Катав,1987-09-26,94
630,Золоторева,Инна,520,4,Владимир,1982-01-17,44
631,Чуркин,Юрий,120,1,Высоцк,1983-11-16,71
632,Тиканская,Светлана,450,4,Старая Русса,1988-08-01,31
633,Демина,Жанна,550,3,Красногорск,1983-01-29,10
634,Сушков,Антон,460,4,Кашира,1988-01-14,38
635,Дрямов,Алексей,420,1,Раменское,1987-01-21,71
636,Кузнецова,Наталья,220,4,Нарткала,1984-04-25,16
637,Водопьянова,Екатерина,340,1,Архангельск,1989-06-06,96
638,Климчук,Ольга,240,1,Ливны,1981-10-29,96
639,Бикташева,Лилия,360,2,Саргино,1983-08-03,68
640,Кошечкина,Екатерина,110,4,Дедовск,1982-07-31,86
641,Шарапов,Константин,80,4,Медынь,1987-02-07,21
642,Ковалева,Юлия,470,1,Гвардейск,1983-02-15,40
643,Бобрешов,Илья,210,2,Терек,1980-08-11,49
644,Михайлова,Ирина,140,2,Скопин,1989-05-27,81
645,Дмитриева,Ольга,260,3,Вилючинск,1985-01-19,71
646,Иванова,Анна,240,4,Юра,1988-04-08,76
647,Дадонова,Людмила,380,1,Саров,1984-12-19,84
648,Фурсов,Евгений,370,3,Воскресенск,1982-04-04,48
649,Черноволова,Екатерина,170,1,Первомайск,1984-06-04,19
650,Лукина,Юлия,320,4,Анапа,1989-09-23,40
651,Майборода,Елена,230,2,Агинское,1980-02-11,64
652,Беленова,Ольга,180,1,Спас-Деменск,1981-07-19,48
653,Костин,Дмитрий,480,3,Черепаново,1980-07-28,25
654,Козакевич,Светлана,270,2,Славгород,1988-01-15,64
655,Келчева,Анастасия,310,4,Йошкар-ола,1985-03-13,67
656,Куцова,Ирина,250,2,Чехов-7,1982-12-22,62
657,Сергеева,Юлия,420,2,Ершов,1989-01-01,79
658,Папонов,Сергей,220,2,Чермоз,1983-07-10,60
659,Авдеев,Алексей,430,4,Псевдостолица,1983-01-21,86
660,Плотникова,Анжелика,130,1,Идрица,1984-03-17,47
661,Шумилов,Анатолий,320,3,Лесной,1983-04-24,32
662,Богачева,Елена,80,1,Карабаново,1987-08-15,40
663,Казакова,Мария,70,1,Геленджик,1986-03-28,37
664,Рекунова,Мария,310,3,Петродворец,1982-02-01,37
665,Сапрунова,Надежда,90,3,Володарск,1985-05-26,1
666,Шигидин,Андрей,350,4,Ленск,1986-03-22,94
667,Мехралиева,Ираде,460,4,Бородино,1982-11-30,20
668,Романенко,Алексей,240,2,Краснокаменск,1988-11-07,88
669,Кузьменко,Дмитрий,290,3,Советск,1981-03-15,9
670,Стародубцева,Ольга,440,2,Глазов,1989-09-20,45
671,Шмарова,Алина,540,2,Завитинск,1986-10-03,13
672,Юдина,Татьяна,200,3,Важская Запань,1988-08-07,92
673,Гладских,Наталья,430,1,Кисловодск,1987-02-02,76
674,Гришин,Алексей,440,3,Дорогобуж,1987-05-01,88
675,Башлыков,Алексей,360,4,Лобня,1987-08-16,13
676,Малчевская,Юлия,100,2,Гуково,1987-06-06,17
677,Филатов,Максим,310,3,Артемовский,1985-03-14,44
678,Крысанов,Андрей,480,1,Бирск,1985-04-12,37
679,Брыкин,Андрей,520,1,Пикалево,1982-03-08,53
680,Таманов,Станислав,250,1,Губкинский,1983-06-30,51
681,Калакуцкая,Елена,130,1,Дятьково,1987-12-12,37
682,Чернов,Александр,530,2,Звенигород,1981-06-11,6
683,Кириченко,Александр,190,4,Черепаново,1986-03-21,73
684,Рыбалкина,Оксана,190,1,Сортавала,1985-06-20,73
685,Гондарев,Владимир,180,3,Междуреченск,1984-10-25,80
686,Абрамова,Анна,240,2,Белая Калитва,1981-02-01,9
687,Толкачев,Иван,250,2,Лениногорск,1982-11-23,3
688,Литвинов,Николай,100,4,Камызяк,1980-08-06,49
689,Щеголькова,Евгения,420,3,Подпорожье,1986-11-01,30
690,Струкова,Марина,130,2,Лысково,1981-03-09,64
691,Самбикина,Ирина,450,3,Великое,1983-07-28,92
692,Келчева,Анастасия,360,3,Питкяранта,1985-10-24,23
693,Медведева,Вероника,90,3,Медногорск,1986-10-01,63
694,Беховых,Сергей,520,4,Плавск,1983-01-26,6
695,Мишечкин,Андрей,110,2,Видное,1980-07-14,32
696,Черкасов,Алексей,350,3,Боровичи,1988-02-27,93
697,Здоровцов,Алексей,370,1,Горняк,1985-04-23,70
141,Воронин,Сергей,260,3,Ногинск,1985-06-21,11
142,Баранова,Юлия,160,4,Чехов-7,1986-04-11,1
143,Семикоз,Марина,460,4,Пласт,1981-04-23,97
144,Буланый,Андрей,510,4,Бузулук,1989-06-04,40
145,Тафинцева,Мария,510,4,Калязин,1987-02-07,23
146,Аксененкова,Ольга,290,3,Гаврилов Посад,1984-05-14,95
147,Лунева,Виктория,440,3,Павловское,1985-04-28,94
148,Федоров,Александр,70,3,Кирсанов,1986-12-29,2
149,Корчагина,Любовь,410,1,Гурьевск,1980-09-13,85
150,Щербинина,Ольга,500,1,Волгодонск,1983-02-13,76
151,Лебедев,Александр,460,3,Кадников,1982-09-05,69
152,Островерхов,Павел,250,3,Новоаннинский,1980-04-20,5
153,Гаршина,Юлия,320,4,Андреаполь,1982-11-19,64
154,Якушева,Юлия,490,1,Красноуфимск,1986-12-01,4
155,Поротиков,Александр,470,3,Слободской,1989-01-27,17
156,Гончаров,Антон,400,4,Лермонтов,1984-05-12,19
157,Захарова,Юлия,450,1,Щербинка,1988-05-29,93
158,Тарасова,Елена,100,4,Темников,1985-05-20,11
159,Белоусова,Татьяна,260,3,Катайск,1989-04-11,44
160,Комова,Кристина,220,1,Тайшет,1983-08-14,38
161,Никитин,Максим,290,1,Теберда,1980-05-29,64
