"lecturer_id","surname","name","city","univ_id"
349,Слукина,Наталья,Вельск,50
350,Бахотская,Оксана,Горнозаводск,90
351,Киркина,Мария,Агинское,67
352,Михайлюк,Наталья,Алзамай,85
353,Артемов,Александр,Шацк,38
354,Щедрин,Денис,Орск,46
355,Киркина,Мария,Ипатово,77
356,Бугакова,Ирина,Тюмень,65
357,Кармаев,Иван,Пенза,76
358,Жидких,Иван,Мытищи,66
359,Мусатова,Юлия,Скопин,84
360,Новиков,Олег,Камень-на-Оби,1
361,Рисинская,Валентина,Белгород,20
362,Аксенова,Ирина,Ступино,49
363,Соловьева,Марина,Красавино,8
364,Химичева,Юлия,Верхо-Пуя,30
365,Бабкина,Надежда,Георгиевск,15
366,Демченко,Кирилл,Хабаровск,2
367,Орехова,Евгения,Верхо-Пуя,74
368,Гриднева,Татьяна,Череповец,86
369,Маркова,Ольга,Дзержинск,3
370,Сарма,Анастасия,Реж,44
